iter	MAE
0	6892300.748
1	6788200.996
2	6693304.74
3	6607158.67
4	6524112.591
5	6442270.601
6	6358531.819
7	6284481.491
8	6203700.662
9	6139708.583
10	6065377.816
11	5999754.413
12	5940393.897
13	5882565.262
14	5831344.415
15	5779597.545
16	5726407.007
17	5672698.691
18	5624402.207
19	5579138.257
20	5536847.355
21	5495014.639
22	5453373.748
23	5413860.227
24	5367036.558
25	5325676.878
26	5293687.677
27	5267107.313
28	5235676.2
29	5205493.355
30	5178004.309
31	5148561.19
32	5120584.396
33	5100347.025
34	5070242.76
35	5046435.326
36	5025173.5
37	5003266.203
38	4985791.545
39	4967795.835
40	4944833.075
41	4931082.873
42	4913265.147
43	4891664.291
44	4873663.088
45	4857870.37
46	4840853.448
47	4823465.676
48	4805471.208
49	4788705.976
50	4775065.514
51	4759292.732
52	4741564.076
53	4728623.972
54	4708102.709
55	4696199.114
56	4687324.59
57	4677019.526
58	4666665.332
59	4651365.763
60	4641808.239
61	4635827.205
62	4627301.529
63	4615559.596
64	4602886.044
65	4593252.67
66	4580680.684
67	4572424.023
68	4556235.185
69	4540902.873
70	4532702.924
71	4523949.24
72	4513656.012
73	4504701.952
74	4492978.637
75	4481689.524
76	4472585.364
77	4467724.475
78	4460649.106
79	4456597.083
80	4445054.425
81	4439701.952
82	4431869.469
83	4423231.774
84	4414920.567
85	4404890.438
86	4397714.089
87	4393842.56
88	4388691.289
89	4377016.253
90	4371369.537
91	4364927.787
92	4360812.091
93	4349758.774
94	4340241.671
95	4329933.82
96	4325340.639
97	4321604.336
98	4316883.838
99	4310470.303
100	4306381.785
101	4301157.291
102	4297811.16
103	4294345.111
104	4289701.029
105	4284364.325
106	4279879.906
107	4267627.987
108	4264542.789
109	4260162.038
110	4254238.336
111	4248011.825
112	4242676.318
113	4233846.813
114	4228300.414
115	4226451.057
116	4222092.621
117	4215778.491
118	4208531.793
119	4205007.115
120	4200279.114
121	4196464.23
122	4191580.882
123	4184555.452
124	4182226.718
125	4181526.533
126	4175707.666
127	4171275.389
128	4166977.189
129	4160162.997
130	4158651.033
131	4157039.094
132	4152472.925
133	4148013.149
134	4146281.233
135	4143179.49
136	4136594.105
137	4131991.106
138	4127296.401
139	4123980.276
140	4120252.302
141	4116344.896
142	4112894.502
143	4108103.704
144	4101804.64
145	4098200.197
146	4092279.054
147	4088466.155
148	4084996.529
149	4081846.582
150	4077847.217
151	4069527.748
152	4065109.388
153	4059742.735
154	4058104.321
155	4057922.636
156	4052913.466
157	4049664.572
158	4047265.252
159	4045891.207
160	4042681.526
161	4036335.285
162	4032008.57
163	4029717.747
164	4026087.066
165	4022766.821
166	4017768.156
167	4013720.841
168	4010012.722
169	4007934.226
170	4006949.194
171	4002957.257
172	3996311.597
173	3990991.54
174	3986718.929
175	3983906.837
176	3981720.155
177	3977189.755
178	3973661.027
179	3970157.969
180	3966715.061
181	3964867.946
182	3958783.657
183	3956109.657
184	3954155.86
185	3951790.967
186	3949457.95
187	3948223.507
188	3945081.627
189	3943751.143
190	3941126.835
191	3939363.602
