iter	Passed	Remaining
0	11	11211
1	16	8009
2	23	7706
3	27	6907
4	33	6646
5	38	6373
6	43	6228
7	48	6005
8	57	6344
9	63	6299
10	70	6357
11	75	6251
12	79	6007
13	84	5958
14	90	5950
15	96	5906
16	112	6477
17	118	6462
18	127	6602
19	133	6556
20	143	6670
21	148	6621
22	159	6787
23	167	6799
24	179	6987
25	191	7160
26	195	7057
27	200	6947
28	210	7050
29	214	6928
30	226	7076
31	233	7075
32	241	7082
33	243	6927
34	255	7033
35	260	6973
36	271	7075
37	276	7000
38	286	7069
39	291	7002
40	300	7037
41	306	7000
42	313	6981
43	318	6924
44	327	6949
45	332	6887
46	337	6838
47	342	6790
48	347	6741
49	352	6695
50	356	6640
51	362	6604
52	367	6567
53	372	6527
54	378	6510
55	385	6496
56	389	6446
57	395	6428
58	401	6399
59	405	6356
60	413	6362
61	418	6336
62	424	6308
63	429	6284
64	434	6245
65	440	6233
66	449	6259
67	453	6219
68	460	6212
69	465	6181
70	470	6150
71	476	6135
72	481	6110
73	486	6082
74	492	6076
75	497	6054
76	503	6036
77	509	6017
78	513	5990
79	516	5937
80	521	5916
81	526	5889
82	530	5865
83	535	5839
84	541	5825
85	546	5809
86	551	5790
87	557	5775
88	562	5755
89	568	5746
90	573	5730
91	579	5718
92	583	5692
93	589	5684
94	595	5675
95	600	5658
96	607	5655
97	612	5634
98	617	5617
99	626	5640
100	631	5620
101	638	5618
102	644	5616
103	649	5598
104	655	5590
105	660	5571
106	665	5556
107	671	5549
108	676	5530
109	681	5512
110	687	5503
111	691	5486
112	697	5473
113	703	5471
114	709	5460
115	715	5450
116	720	5435
117	726	5427
118	731	5413
119	736	5399
120	741	5389
121	746	5370
122	752	5364
123	757	5348
124	762	5336
125	764	5300
126	769	5291
127	774	5278
128	779	5266
129	785	5255
130	790	5243
131	794	5226
132	800	5218
133	805	5206
134	811	5197
135	816	5184
136	821	5174
137	827	5169
138	834	5168
139	839	5158
140	845	5149
141	852	5153
142	858	5147
143	865	5146
144	872	5142
145	879	5144
146	885	5139
147	891	5133
148	898	5133
149	905	5128
150	910	5121
151	918	5121
152	925	5125
153	941	5172
154	950	5181
155	955	5169
156	961	5164
157	969	5164
158	974	5154
159	979	5144
160	984	5131
161	991	5127
162	996	5118
163	1001	5104
164	1006	5095
165	1014	5098
166	1020	5091
167	1029	5096
168	1034	5085
169	1039	5076
170	1047	5076
171	1054	5074
172	1060	5068
173	1065	5056
174	1069	5044
175	1075	5033
176	1080	5023
177	1085	5013
178	1092	5010
179	1097	4999
180	1102	4990
181	1108	4980
182	1113	4970
183	1118	4960
184	1123	4949
185	1128	4938
186	1133	4926
187	1138	4915
188	1142	4904
189	1147	4892
190	1152	4883
191	1158	4873
192	1163	4864
193	1168	4855
194	1173	4843
195	1178	4835
196	1183	4823
197	1188	4814
198	1193	4804
199	1198	4794
200	1203	4783
201	1208	4773
202	1213	4762
203	1219	4758
204	1224	4748
205	1229	4737
206	1234	4729
207	1239	4719
208	1244	4709
209	1249	4700
210	1254	4690
211	1258	4679
212	1264	4672
213	1269	4664
214	1275	4655
215	1279	4644
216	1286	4642
217	1291	4632
218	1296	4623
219	1301	4613
220	1302	4591
221	1307	4581
222	1312	4571
223	1316	4561
224	1321	4550
225	1325	4539
226	1330	4529
227	1335	4520
228	1339	4511
229	1344	4501
230	1349	4492
231	1354	4482
232	1358	4471
233	1363	4464
234	1368	4455
235	1373	4447
236	1378	4437
237	1382	4427
238	1387	4418
239	1393	4413
240	1398	4403
241	1402	4392
242	1408	4388
243	1415	4385
244	1421	4380
245	1426	4373
246	1431	4364
247	1437	4358
248	1442	4350
249	1447	4341
250	1453	4336
251	1458	4328
252	1462	4318
253	1467	4311
254	1472	4303
255	1478	4295
256	1482	4287
257	1488	4280
258	1493	4272
259	1497	4262
260	1502	4253
261	1507	4246
262	1512	4239
263	1517	4230
264	1522	4222
265	1527	4215
266	1532	4206
267	1537	4198
268	1541	4189
269	1546	4181
270	1551	4174
271	1556	4165
272	1561	4157
273	1566	4150
274	1571	4142
275	1576	4135
276	1581	4126
277	1586	4119
278	1592	4115
279	1596	4105
280	1601	4097
281	1609	4096
282	1613	4088
283	1619	4082
284	1624	4075
285	1629	4067
286	1634	4059
287	1639	4052
288	1644	4044
289	1649	4037
290	1654	4031
291	1659	4023
292	1665	4018
293	1669	4010
294	1674	4002
295	1679	3994
296	1684	3987
297	1689	3979
298	1693	3970
299	1698	3962
300	1702	3954
301	1707	3946
302	1712	3938
303	1716	3930
304	1722	3925
305	1727	3916
306	1731	3908
307	1736	3900
308	1741	3894
309	1745	3886
310	1750	3879
311	1756	3872
312	1760	3864
313	1765	3856
314	1769	3848
315	1774	3840
316	1779	3834
317	1785	3828
318	1789	3821
319	1794	3812
320	1801	3809
321	1805	3801
322	1810	3794
323	1816	3789
324	1821	3782
325	1825	3775
326	1830	3768
327	1835	3761
328	1841	3755
329	1846	3748
330	1850	3740
331	1856	3734
332	1860	3726
333	1866	3720
334	1870	3713
335	1876	3707
336	1881	3700
337	1885	3692
338	1890	3685
339	1895	3679
340	1900	3672
341	1904	3664
342	1909	3657
343	1914	3651
344	1919	3643
345	1925	3639
346	1933	3637
